zipcode,zone,trange,zonetitle
01537,6a,-10 to -5,6a: -10 to -5
01538,6b,-5 to 0,6b: -5 to 0
01540,6b,-5 to 0,6b: -5 to 0
01541,6a,-10 to -5,6a: -10 to -5
01542,6b,-5 to 0,6b: -5 to 0
01543,6a,-10 to -5,6a: -10 to -5
01545,6a,-10 to -5,6a: -10 to -5
01546,6a,-10 to -5,6a: -10 to -5
01550,6b,-5 to 0,6b: -5 to 0
01560,6b,-5 to 0,6b: -5 to 0
01561,6b,-5 to 0,6b: -5 to 0
01562,6a,-10 to -5,6a: -10 to -5
01564,6a,-10 to -5,6a: -10 to -5
01566,6a,-10 to -5,6a: -10 to -5
01568,6b,-5 to 0,6b: -5 to 0
01569,6b,-5 to 0,6b: -5 to 0
01570,6b,-5 to 0,6b: -5 to 0
01571,6b,-5 to 0,6b: -5 to 0
01581,6b,-5 to 0,6b: -5 to 0
01583,6a,-10 to -5,6a: -10 to -5
01585,6a,-10 to -5,6a: -10 to -5
01586,6a,-10 to -5,6a: -10 to -5
01588,6b,-5 to 0,6b: -5 to 0
01590,6b,-5 to 0,6b: -5 to 0
01601,6a,-10 to -5,6a: -10 to -5
01602,6b,-5 to 0,6b: -5 to 0
01603,6a,-10 to -5,6a: -10 to -5
01604,6a,-10 to -5,6a: -10 to -5
01605,6a,-10 to -5,6a: -10 to -5
01606,6b,-5 to 0,6b: -5 to 0
01607,6a,-10 to -5,6a: -10 to -5
01608,6a,-10 to -5,6a: -10 to -5
01609,6b,-5 to 0,6b: -5 to 0
01610,6a,-10 to -5,6a: -10 to -5
01611,6b,-5 to 0,6b: -5 to 0
01612,6a,-10 to -5,6a: -10 to -5
01613,6a,-10 to -5,6a: -10 to -5
01614,6a,-10 to -5,6a: -10 to -5
01615,6b,-5 to 0,6b: -5 to 0
01653,6b,-5 to 0,6b: -5 to 0
01655,6a,-10 to -5,6a: -10 to -5
01701,6b,-5 to 0,6b: -5 to 0
01702,6b,-5 to 0,6b: -5 to 0
01703,6b,-5 to 0,6b: -5 to 0
01704,6b,-5 to 0,6b: -5 to 0
01705,6b,-5 to 0,6b: -5 to 0
01719,6a,-10 to -5,6a: -10 to -5
01720,6b,-5 to 0,6b: -5 to 0
01721,6b,-5 to 0,6b: -5 to 0
01730,6b,-5 to 0,6b: -5 to 0
01731,6b,-5 to 0,6b: -5 to 0
01740,6b,-5 to 0,6b: -5 to 0
01741,6b,-5 to 0,6b: -5 to 0
01742,6b,-5 to 0,6b: -5 to 0
01745,6b,-5 to 0,6b: -5 to 0
01746,6b,-5 to 0,6b: -5 to 0
01747,6b,-5 to 0,6b: -5 to 0
01748,6b,-5 to 0,6b: -5 to 0
01749,6b,-5 to 0,6b: -5 to 0
01752,6b,-5 to 0,6b: -5 to 0
01754,6b,-5 to 0,6b: -5 to 0
01756,6b,-5 to 0,6b: -5 to 0
01757,6b,-5 to 0,6b: -5 to 0
01760,6b,-5 to 0,6b: -5 to 0
01770,6b,-5 to 0,6b: -5 to 0
01772,6b,-5 to 0,6b: -5 to 0
01773,6b,-5 to 0,6b: -5 to 0
01775,6b,-5 to 0,6b: -5 to 0
01776,6b,-5 to 0,6b: -5 to 0
01778,6b,-5 to 0,6b: -5 to 0
01784,6b,-5 to 0,6b: -5 to 0
01801,6b,-5 to 0,6b: -5 to 0
01803,6b,-5 to 0,6b: -5 to 0
01805,6b,-5 to 0,6b: -5 to 0
01810,6b,-5 to 0,6b: -5 to 0
01812,6b,-5 to 0,6b: -5 to 0
01813,6b,-5 to 0,6b: -5 to 0
01815,6b,-5 to 0,6b: -5 to 0
01821,6b,-5 to 0,6b: -5 to 0
01822,6b,-5 to 0,6b: -5 to 0
01824,6b,-5 to 0,6b: -5 to 0
01826,6a,-10 to -5,6a: -10 to -5
01827,6a,-10 to -5,6a: -10 to -5
01830,6a,-10 to -5,6a: -10 to -5
01831,6b,-5 to 0,6b: -5 to 0
01832,6a,-10 to -5,6a: -10 to -5
01833,6b,-5 to 0,6b: -5 to 0
01834,6a,-10 to -5,6a: -10 to -5
01835,6b,-5 to 0,6b: -5 to 0
01840,6b,-5 to 0,6b: -5 to 0
01841,6b,-5 to 0,6b: -5 to 0
01842,6b,-5 to 0,6b: -5 to 0
01843,6b,-5 to 0,6b: -5 to 0
01844,6b,-5 to 0,6b: -5 to 0
01845,6b,-5 to 0,6b: -5 to 0
01850,6b,-5 to 0,6b: -5 to 0
01851,6b,-5 to 0,6b: -5 to 0
01852,6b,-5 to 0,6b: -5 to 0
01853,6b,-5 to 0,6b: -5 to 0
01854,6b,-5 to 0,6b: -5 to 0
01860,6a,-10 to -5,6a: -10 to -5
01862,6b,-5 to 0,6b: -5 to 0
01863,6b,-5 to 0,6b: -5 to 0
01864,6b,-5 to 0,6b: -5 to 0
01865,6b,-5 to 0,6b: -5 to 0
01866,6b,-5 to 0,6b: -5 to 0
01867,6b,-5 to 0,6b: -5 to 0
01876,6b,-5 to 0,6b: -5 to 0
01879,6a,-10 to -5,6a: -10 to -5
01880,6b,-5 to 0,6b: -5 to 0
01885,6b,-5 to 0,6b: -5 to 0
01886,6a,-10 to -5,6a: -10 to -5
01887,6b,-5 to 0,6b: -5 to 0
01888,6b,-5 to 0,6b: -5 to 0
01889,6b,-5 to 0,6b: -5 to 0
01890,6b,-5 to 0,6b: -5 to 0
01899,6b,-5 to 0,6b: -5 to 0
01901,7a,0 to 5,7a: 0 to 5
01902,7a,0 to 5,7a: 0 to 5
01903,7a,0 to 5,7a: 0 to 5
01904,6b,-5 to 0,6b: -5 to 0
01905,7a,0 to 5,7a: 0 to 5
01906,6b,-5 to 0,6b: -5 to 0
01907,7a,0 to 5,7a: 0 to 5
01908,7a,0 to 5,7a: 0 to 5
01910,7a,0 to 5,7a: 0 to 5
01913,6a,-10 to -5,6a: -10 to -5
01915,6b,-5 to 0,6b: -5 to 0
01921,6b,-5 to 0,6b: -5 to 0
01922,6b,-5 to 0,6b: -5 to 0
01923,6b,-5 to 0,6b: -5 to 0
01929,6b,-5 to 0,6b: -5 to 0
01930,7a,0 to 5,7a: 0 to 5
01931,7a,0 to 5,7a: 0 to 5
01936,6b,-5 to 0,6b: -5 to 0
01937,6b,-5 to 0,6b: -5 to 0
01938,6b,-5 to 0,6b: -5 to 0
01940,6b,-5 to 0,6b: -5 to 0
01944,7a,0 to 5,7a: 0 to 5
01945,7a,0 to 5,7a: 0 to 5
01949,6b,-5 to 0,6b: -5 to 0
01950,6b,-5 to 0,6b: -5 to 0
01951,6b,-5 to 0,6b: -5 to 0
01952,6b,-5 to 0,6b: -5 to 0
01960,6b,-5 to 0,6b: -5 to 0
01961,6b,-5 to 0,6b: -5 to 0
01965,6b,-5 to 0,6b: -5 to 0
01966,7a,0 to 5,7a: 0 to 5
01969,6b,-5 to 0,6b: -5 to 0
01970,7a,0 to 5,7a: 0 to 5
01971,6b,-5 to 0,6b: -5 to 0
01982,6b,-5 to 0,6b: -5 to 0
01983,6b,-5 to 0,6b: -5 to 0
01984,6b,-5 to 0,6b: -5 to 0
01985,6b,-5 to 0,6b: -5 to 0
02018,6b,-5 to 0,6b: -5 to 0
02019,6b,-5 to 0,6b: -5 to 0
02021,6b,-5 to 0,6b: -5 to 0
02025,7a,0 to 5,7a: 0 to 5
02026,6b,-5 to 0,6b: -5 to 0
02027,6b,-5 to 0,6b: -5 to 0
02030,6b,-5 to 0,6b: -5 to 0
02032,6b,-5 to 0,6b: -5 to 0
02035,6b,-5 to 0,6b: -5 to 0
02038,6b,-5 to 0,6b: -5 to 0
02040,7a,0 to 5,7a: 0 to 5
02041,7a,0 to 5,7a: 0 to 5
02043,7a,0 to 5,7a: 0 to 5
02044,7a,0 to 5,7a: 0 to 5
02045,7a,0 to 5,7a: 0 to 5
02047,7a,0 to 5,7a: 0 to 5
02048,6b,-5 to 0,6b: -5 to 0
02050,7a,0 to 5,7a: 0 to 5
02051,7a,0 to 5,7a: 0 to 5
02052,6b,-5 to 0,6b: -5 to 0
02053,6b,-5 to 0,6b: -5 to 0
02054,6b,-5 to 0,6b: -5 to 0
02055,7a,0 to 5,7a: 0 to 5
02056,6b,-5 to 0,6b: -5 to 0
02059,7a,0 to 5,7a: 0 to 5
02060,7a,0 to 5,7a: 0 to 5
02061,7a,0 to 5,7a: 0 to 5
02062,6b,-5 to 0,6b: -5 to 0
02065,7a,0 to 5,7a: 0 to 5
02066,7a,0 to 5,7a: 0 to 5
02067,6b,-5 to 0,6b: -5 to 0
02070,6b,-5 to 0,6b: -5 to 0
02071,6b,-5 to 0,6b: -5 to 0
02072,6b,-5 to 0,6b: -5 to 0
02081,6b,-5 to 0,6b: -5 to 0
02090,6b,-5 to 0,6b: -5 to 0
02093,6b,-5 to 0,6b: -5 to 0
02108,7a,0 to 5,7a: 0 to 5
02109,7a,0 to 5,7a: 0 to 5
02110,7a,0 to 5,7a: 0 to 5
02111,7a,0 to 5,7a: 0 to 5
02112,7a,0 to 5,7a: 0 to 5
02113,7a,0 to 5,7a: 0 to 5
02114,7a,0 to 5,7a: 0 to 5
02115,7a,0 to 5,7a: 0 to 5
02116,7a,0 to 5,7a: 0 to 5
02117,7a,0 to 5,7a: 0 to 5
02118,7a,0 to 5,7a: 0 to 5
02119,7a,0 to 5,7a: 0 to 5
02120,7a,0 to 5,7a: 0 to 5
02121,6b,-5 to 0,6b: -5 to 0
02122,7a,0 to 5,7a: 0 to 5
02123,7a,0 to 5,7a: 0 to 5
02124,6b,-5 to 0,6b: -5 to 0
02125,7a,0 to 5,7a: 0 to 5
02126,6b,-5 to 0,6b: -5 to 0
02127,7a,0 to 5,7a: 0 to 5
02128,7a,0 to 5,7a: 0 to 5
02129,7a,0 to 5,7a: 0 to 5
02130,6b,-5 to 0,6b: -5 to 0
02131,6b,-5 to 0,6b: -5 to 0
02132,6b,-5 to 0,6b: -5 to 0
02133,7a,0 to 5,7a: 0 to 5
02134,6b,-5 to 0,6b: -5 to 0
02135,6b,-5 to 0,6b: -5 to 0
02136,6b,-5 to 0,6b: -5 to 0
02137,6b,-5 to 0,6b: -5 to 0
02138,6b,-5 to 0,6b: -5 to 0
02139,6b,-5 to 0,6b: -5 to 0
02140,6b,-5 to 0,6b: -5 to 0
02141,7a,0 to 5,7a: 0 to 5
02142,7a,0 to 5,7a: 0 to 5
02143,7a,0 to 5,7a: 0 to 5
02144,6b,-5 to 0,6b: -5 to 0
02145,7a,0 to 5,7a: 0 to 5
02148,6b,-5 to 0,6b: -5 to 0
02149,7a,0 to 5,7a: 0 to 5
02150,7a,0 to 5,7a: 0 to 5
02151,7a,0 to 5,7a: 0 to 5
02152,7a,0 to 5,7a: 0 to 5
02155,6b,-5 to 0,6b: -5 to 0
02156,6b,-5 to 0,6b: -5 to 0
02163,6b,-5 to 0,6b: -5 to 0
02169,6b,-5 to 0,6b: -5 to 0
02170,7a,0 to 5,7a: 0 to 5
02171,7a,0 to 5,7a: 0 to 5
02176,6b,-5 to 0,6b: -5 to 0
02180,6b,-5 to 0,6b: -5 to 0
02184,6b,-5 to 0,6b: -5 to 0
02185,6b,-5 to 0,6b: -5 to 0
02186,6b,-5 to 0,6b: -5 to 0
02187,6b,-5 to 0,6b: -5 to 0
02188,6b,-5 to 0,6b: -5 to 0
02189,7a,0 to 5,7a: 0 to 5
02190,6b,-5 to 0,6b: -5 to 0
02191,7a,0 to 5,7a: 0 to 5
02196,7a,0 to 5,7a: 0 to 5
02201,7a,0 to 5,7a: 0 to 5
02203,7a,0 to 5,7a: 0 to 5
02204,7a,0 to 5,7a: 0 to 5
02205,7a,0 to 5,7a: 0 to 5
02206,7a,0 to 5,7a: 0 to 5
02210,7a,0 to 5,7a: 0 to 5
02211,7a,0 to 5,7a: 0 to 5
02212,7a,0 to 5,7a: 0 to 5
02215,6b,-5 to 0,6b: -5 to 0
02217,7a,0 to 5,7a: 0 to 5
02222,7a,0 to 5,7a: 0 to 5
02238,6b,-5 to 0,6b: -5 to 0
02241,7a,0 to 5,7a: 0 to 5
02269,7a,0 to 5,7a: 0 to 5
02283,7a,0 to 5,7a: 0 to 5
02284,7a,0 to 5,7a: 0 to 5
02293,7a,0 to 5,7a: 0 to 5
02297,7a,0 to 5,7a: 0 to 5
02298,7a,0 to 5,7a: 0 to 5
02301,6b,-5 to 0,6b: -5 to 0
02302,6b,-5 to 0,6b: -5 to 0
02303,6b,-5 to 0,6b: -5 to 0
02304,6b,-5 to 0,6b: -5 to 0
02305,6b,-5 to 0,6b: -5 to 0
02322,6b,-5 to 0,6b: -5 to 0
02324,6b,-5 to 0,6b: -5 to 0
02325,6b,-5 to 0,6b: -5 to 0
02327,6b,-5 to 0,6b: -5 to 0
02330,6b,-5 to 0,6b: -5 to 0
02331,7a,0 to 5,7a: 0 to 5
02332,7a,0 to 5,7a: 0 to 5
02333,6b,-5 to 0,6b: -5 to 0
02334,6b,-5 to 0,6b: -5 to 0
02337,6b,-5 to 0,6b: -5 to 0
02338,6b,-5 to 0,6b: -5 to 0
02339,6b,-5 to 0,6b: -5 to 0
02341,6b,-5 to 0,6b: -5 to 0
02343,6b,-5 to 0,6b: -5 to 0
02344,6b,-5 to 0,6b: -5 to 0
02345,7a,0 to 5,7a: 0 to 5
02346,6b,-5 to 0,6b: -5 to 0
02347,6b,-5 to 0,6b: -5 to 0
02348,6b,-5 to 0,6b: -5 to 0
02349,6b,-5 to 0,6b: -5 to 0
02350,6b,-5 to 0,6b: -5 to 0
02351,6b,-5 to 0,6b: -5 to 0
02355,6b,-5 to 0,6b: -5 to 0
02356,6b,-5 to 0,6b: -5 to 0
02357,6b,-5 to 0,6b: -5 to 0
02358,6b,-5 to 0,6b: -5 to 0
02359,6b,-5 to 0,6b: -5 to 0
02360,7a,0 to 5,7a: 0 to 5
02361,7a,0 to 5,7a: 0 to 5
02362,7a,0 to 5,7a: 0 to 5
02364,7a,0 to 5,7a: 0 to 5
02366,6b,-5 to 0,6b: -5 to 0
02367,6b,-5 to 0,6b: -5 to 0
02368,6b,-5 to 0,6b: -5 to 0
02370,6b,-5 to 0,6b: -5 to 0
02375,6b,-5 to 0,6b: -5 to 0
02379,6b,-5 to 0,6b: -5 to 0
02381,7a,0 to 5,7a: 0 to 5
02382,6b,-5 to 0,6b: -5 to 0
02420,6b,-5 to 0,6b: -5 to 0
02421,6b,-5 to 0,6b: -5 to 0
02445,6b,-5 to 0,6b: -5 to 0
02446,6b,-5 to 0,6b: -5 to 0
02447,6b,-5 to 0,6b: -5 to 0
02451,6b,-5 to 0,6b: -5 to 0
02452,6b,-5 to 0,6b: -5 to 0
02453,6b,-5 to 0,6b: -5 to 0
02454,6b,-5 to 0,6b: -5 to 0
02455,6b,-5 to 0,6b: -5 to 0
02456,6b,-5 to 0,6b: -5 to 0
02457,6b,-5 to 0,6b: -5 to 0
02458,6b,-5 to 0,6b: -5 to 0
02459,6b,-5 to 0,6b: -5 to 0
02460,6b,-5 to 0,6b: -5 to 0
02461,6b,-5 to 0,6b: -5 to 0
02462,6b,-5 to 0,6b: -5 to 0
02464,6b,-5 to 0,6b: -5 to 0
02465,6b,-5 to 0,6b: -5 to 0
02466,6b,-5 to 0,6b: -5 to 0
02467,6b,-5 to 0,6b: -5 to 0
02468,6b,-5 to 0,6b: -5 to 0
02471,6b,-5 to 0,6b: -5 to 0
02472,6b,-5 to 0,6b: -5 to 0
02474,6b,-5 to 0,6b: -5 to 0
02475,6b,-5 to 0,6b: -5 to 0
02476,6b,-5 to 0,6b: -5 to 0
02477,6b,-5 to 0,6b: -5 to 0
02478,6b,-5 to 0,6b: -5 to 0
02479,6b,-5 to 0,6b: -5 to 0
02481,6b,-5 to 0,6b: -5 to 0
02482,6b,-5 to 0,6b: -5 to 0
02492,6b,-5 to 0,6b: -5 to 0
02493,6b,-5 to 0,6b: -5 to 0
02494,6b,-5 to 0,6b: -5 to 0
02495,6b,-5 to 0,6b: -5 to 0
02532,7a,0 to 5,7a: 0 to 5
02534,7a,0 to 5,7a: 0 to 5
02535,7b,5 to 10,7b: 5 to 10
02536,7a,0 to 5,7a: 0 to 5
02537,7a,0 to 5,7a: 0 to 5
02538,7a,0 to 5,7a: 0 to 5
02539,7b,5 to 10,7b: 5 to 10
02540,7a,0 to 5,7a: 0 to 5
02541,7a,0 to 5,7a: 0 to 5
02542,7a,0 to 5,7a: 0 to 5
02543,7b,5 to 10,7b: 5 to 10
02552,7b,5 to 10,7b: 5 to 10
02553,7a,0 to 5,7a: 0 to 5
02554,7b,5 to 10,7b: 5 to 10
02556,7a,0 to 5,7a: 0 to 5
02557,7a,0 to 5,7a: 0 to 5
02558,7a,0 to 5,7a: 0 to 5
02559,7a,0 to 5,7a: 0 to 5
02561,7a,0 to 5,7a: 0 to 5
02562,7a,0 to 5,7a: 0 to 5
02563,7a,0 to 5,7a: 0 to 5
02564,7b,5 to 10,7b: 5 to 10
02568,7a,0 to 5,7a: 0 to 5
02571,7a,0 to 5,7a: 0 to 5
02574,7a,0 to 5,7a: 0 to 5
02575,7a,0 to 5,7a: 0 to 5
02576,7a,0 to 5,7a: 0 to 5
02584,7b,5 to 10,7b: 5 to 10
02601,7a,0 to 5,7a: 0 to 5
02630,7a,0 to 5,7a: 0 to 5
02631,7b,5 to 10,7b: 5 to 10
02632,7a,0 to 5,7a: 0 to 5
02633,7b,5 to 10,7b: 5 to 10
02634,7a,0 to 5,7a: 0 to 5
02635,7a,0 to 5,7a: 0 to 5
02637,7a,0 to 5,7a: 0 to 5
02638,7b,5 to 10,7b: 5 to 10
02639,7b,5 to 10,7b: 5 to 10
02641,7b,5 to 10,7b: 5 to 10
02642,7b,5 to 10,7b: 5 to 10
02643,7b,5 to 10,7b: 5 to 10
02644,7a,0 to 5,7a: 0 to 5
02645,7b,5 to 10,7b: 5 to 10
02646,7b,5 to 10,7b: 5 to 10
02647,7a,0 to 5,7a: 0 to 5
02648,7a,0 to 5,7a: 0 to 5
02649,7a,0 to 5,7a: 0 to 5
02650,7b,5 to 10,7b: 5 to 10
