Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other Uses,Link
Abies grandis,"Grand Fir, Giant Fir, Lowland White Fir",Tree,75.0,5-6,F,LMH,FSN,M,2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies grandis
Abies homolepis,Nikko Fir,Tree,36.0,4-7,M,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies homolepis
Abies lasiocarpa,"Subalpine Fir, Alpine Fir",Tree,25.0,5-6,S,LMH,FSN,M,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies lasiocarpa
Abies magnifica,"Californian Red Fir, Shasta red fir",Tree,60.0,4-8,M,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies magnifica
Abies mariesii,,Tree,20.0,5-9,S,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies mariesii
Abies nordmanniana,"Caucasian Fir, Christmas Tree Fir, Nordmann",Tree,50.0,4-6,M,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies nordmanniana
Abies pindrow,West Himalayan Fir,Tree,30.0,5-7,S,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies pindrow
Abies procera,Noble Fir,Tree,60.0,5-6,M,LMH,FSN,M,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies procera
Abies recurvata,,Tree,35.0,5-9,M,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies recurvata
Abies religiosa,Sacred Fir,Tree,40.0,7-10,F,LMH,FSN,M,0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies religiosa
Abies sachalinensis,Sakhalin Fir,Tree,30.0,3-6,S,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies sachalinensis
Abies sibirica,Siberian Fir,Tree,30.0,-,,LMH,FSN,M,0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies sibirica
Abies spectabilis,Himalayan Fir,Tree,30.0,6-9,S,LMH,FSN,M,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies spectabilis
Abies squamata,Flaky Fir,Tree,30.0,5-9,S,LMH,FSN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies squamata
Abies veitchii,"Veitch Fir, Christmastree",Tree,25.0,3-7,F,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies veitchii
Abies veitchii sikokiana,,Tree,30.0,3-7,,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies veitchii sikokiana
Abobra tenuifolia,Cranberry Gourd,Perennial Climber,3.5,8-11,,LM,N,DM,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abobra tenuifolia
Abroma augusta,Cotton Abroma. Perennial Indian Hemp.,Shrub,3.0,10-12,F,LMH,N,M,0,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Abroma augusta
Abronia fragrans,Snowball Sand Verbena,Perennial,0.6,7-10,,LM,N,DM,2,1,,https://pfaf.org/user/Plant.aspx?LatinName=Abronia fragrans
Abronia latifolia,"Sand Verbena, Coastal sand verbena",Perennial,0.1,7-10,,L,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abronia latifolia
Abronia turbinata,Transmontane Sand Verbena,Perennial,0.1,-,,L,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Abronia turbinata
Abronia villosa,Desert Sand Verbena,Annual,0.1,7-10,,L,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Abronia villosa
Abutilon megapotamicum,Trailing Abutilon,Shrub,2.0,7-10,F,LMH,SN,M,4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon megapotamicum
Abutilon ochsenii,,Shrub,4.0,7-10,,LMH,SN,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon ochsenii
Abutilon pictum,"Abutilon, Parlour Maple, Flowering Maple, Spotted",Shrub,5.0,8-10,M,LMH,SN,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon pictum
Abutilon purpurascens,,Shrub,2.4,8-11,,LMH,SN,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon purpurascens
Abutilon species,,Shrub,3.0,7-10,,LMH,SN,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon species
Abutilon theophrasti,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",Annual,1.0,0-0,,LMH,SN,DM,3,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon theophrasti
Abutilon vitifolium,,Shrub,8.0,7-10,,LMH,SN,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon vitifolium
Abutilon x hybridum,"Chinese Lantern, Flowering Maple",Shrub,3.0,9-11,F,LMH,SN,M,3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon x hybridum
Abutilon x milleri,Trailing Abutilon,Shrub,3.0,7-10,,LMH,SN,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon x milleri
Abutilon x suntense,,Shrub,8.0,7-10,F,LMH,SN,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon x suntense
Acacia aneura,Mulga Acacia,Tree,15.0,8-11,S,LM,N,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia aneura
Acacia angustissima,Prairie acacia. Timbre. Fernleaf Acacia,Tree,5.0,7-10,F,LMH,N,DM,2,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia angustissima
Acacia auriculiformis,"Ear-Pod Wattle, Black Acacia, Earleaf, Black wattle",Tree,25.0,10-12,F,LMH,N,DM,1,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia auriculiformis
Acacia catechu,"Cutch tree, Catechu acacia",Tree,15.0,10-12,F,LMH,N,DM,1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia catechu
Acacia colei,"Cole's wattle, Candelabra Wattle, Soap wattle,",Shrub,4.0,10-12,F,LMH,N,DM,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia colei
Acacia concinna,"Shikakai, Soap-Pod",Tree,10.0,10-11,M,LM,N,D,2,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia concinna
Acacia coriacea,"Wiry Wattle, Acacia, Leather Leaf",Tree,5.0,9-11,M,LMH,SN,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia coriacea
Acacia cowleana,Hall’s Creek wattle,Tree,5.0,10-12,F,LM,N,DM,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia cowleana
Acacia cultriformis,"Knife-Leaf Wattle, Knife acacia",Shrub,4.0,9-11,S,LMH,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia cultriformis
Acacia dealbata,"Mimosa, Silver wattle",Tree,25.0,7-10,F,LM,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia dealbata
Acacia decurrens,Green Wattle,Tree,12.0,6-9,F,LM,N,DM,2,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia decurrens
Acacia farnesiana,"Sweet Acacia, Perfume Acacia, Huisache",Shrub,9.0,9-11,F,LMH,N,DM,2,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia farnesiana
Acacia holosericea,"Strap wattle, Candelabra wattle",Shrub,3.0,10-12,F,LMH,N,M,1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia holosericea
Acacia koa,Koa Acacia,Tree,20.0,10-12,F,LMH,N,DM,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia koa
Acacia koaia,Koai'a,Tree,5.0,10-12,F,LMH,N,DM,0,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia koaia
Acacia leucophloea,"Kuteera-Gum, White-barked acacia.",Tree,25.0,10-12,M,LMH,N,DM,2,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia leucophloea
Acacia longifolia,"Sydney Golden Wattle, Acacia",Tree,9.0,10-11,M,L,N,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia longifolia
Acacia mearnsii,"Black Wattle, Late black wattle",Tree,10.0,8-11,F,LM,N,M,1,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia mearnsii
Acacia melanoxylon,"Blackwood, Australia Acacia, Black Acacia, Blackwood Acacia",Tree,30.0,9-11,F,LM,N,DM,2,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia melanoxylon
Acacia mucronata,Narrow-Leaf Wattle,Tree,9.0,7-10,,L,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia mucronata
Acacia murrayana,"Murray’s wattle, Colony wattle",Tree,5.0,10-12,F,LMH,N,DM,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia murrayana
Acacia paradoxa,"Kangaroo Thorn, Paradox acacia",Shrub,5.0,7-10,,LMH,N,DM,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Acacia paradoxa
Acacia podalyriifolia,"Queensland Silver Wattle, Pearl wattle",Tree,3.0,7-10,,LM,N,DM,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia podalyriifolia
Acacia pycnantha,Golden Wattle,Tree,8.0,7-10,F,L,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia pycnantha
Acacia retinodes,"Swamp Wattle, Water wattle",Tree,6.0,7-10,,LM,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia retinodes
Acacia saligna,"Blue-Leaved Wattle, Orange wattle",Shrub,6.0,7-10,F,LMH,N,DM,1,0,5,https://pfaf.org/user/Plant.aspx?LatinName=Acacia saligna
Acacia sophorae,"Coastal Wattle, Acacia",Shrub,0.0,0-0,,LMH,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia sophorae
Acacia verticillata,Prickly Moses,Shrub,6.0,7-10,,LMH,N,DM,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia verticillata
Acacia victoriae,"Bramble wattle. Gundabluey, Bardi bush",Shrub,10.0,8-11,F,LMH,N,DM,4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acacia victoriae
Acaenia anserinifolia,Pirri-Pirri Bur,Perennial,0.1,5-9,F,LMH,SN,M,1,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acaenia anserinifolia
Acalypha australis,Asian copperleaf,Annual,0.5,0-0,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Acalypha australis
Acanthocereus tetragonus,Pitahaya. Barbed-wire cactus.,Tree,5.0,10-12,S,LM,N,D,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acanthocereus tetragonus
Acanthosicyos horridus,Naras. Butterpips,Perennial,1.0,9-11,F,LM,N,DM,3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Acanthosicyos horridus
Acanthus mollis,Bear's Breeches,Perennial,1.2,-,,LM,SN,DM,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acanthus mollis
Acca sellowiana,"Feijoa, Pineapple Guava",Shrub,3.0,8-11,S,LMH,N,DM,4,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Acca sellowiana
Acer acuminatum,,Tree,6.0,5-9,,LMH,SN,M,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer acuminatum
Acer argutum,,Tree,8.0,4-8,,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer argutum
Acer caesium,,Tree,15.0,5-9,,LMH,SN,M,0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer caesium
Acer campestre,"Field Maple, Hedge maple",Tree,15.0,4-8,F,LMH,SN,M,2,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer campestre
Acer carpinifolium,Hornbeam Maple,Shrub,10.0,4-7,S,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer carpinifolium
Acer circinatum,Vine Maple,Tree,12.0,6-9,S,LMH,SN,M,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer circinatum
Acer crataegifolium,Hawthorn-Leaved Maple,Tree,10.0,5-9,,LMH,SN,M,0,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer crataegifolium
Acer distylum,,Tree,15.0,6-9,,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer distylum
Acer ginnala,Amur Maple,Tree,10.0,3-8,F,LMH,SN,M,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer ginnala
Acer glabrum,"Rock Maple, Rocky Mountain maple, Douglas maple, Greene's maple,  New Mexico maple, Torrey maple",Tree,9.0,3-8,S,LMH,SN,M,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer glabrum
Acer interius,Box Elder,Tree,20.0,-,,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer interius
Acer macrophyllum,"Oregon Maple, Bigleaf maple, Oregon Maple",Tree,30.0,5-9,F,LMH,SN,M,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer macrophyllum
Acer mono,Maple,Tree,15.0,3-8,S,LMH,SN,M,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer mono
Acer negundo,Box Elder,Tree,21.0,3-8,F,LMH,SN,M,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer negundo
Acer oblongum,,Tree,9.0,6-9,,LMH,SN,M,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer oblongum
Acer palmatum,Japanese Maple,Tree,8.0,6-8,S,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer palmatum
Acer pectinatum,Maple,Tree,10.0,3-6,S,LMH,SN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer pectinatum
Acer pensylvanicum,"Moosewood, Striped maple, Moosewood, Pennsylvania Maple",Tree,4.5,3-7,,LMH,N,M,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer pensylvanicum
Acer platanoides,"Norway Maple,  Harlequin Maple",Tree,21.0,3-7,F,LMH,SN,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer platanoides
Acer pseudoplatanus,"Sycamore, Great Maple, Scottish Maple, Planetree Maple",Tree,30.0,4-7,F,LMH,SN,M,2,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Acer pseudoplatanus
Acer rubrum,"Red Maple, Drummond's maple, Swamp Maple",Tree,30.0,4-10,F,LMH,SN,M,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer rubrum
Acer saccharinum,"Silver Maple, River Maple, Soft Maple",Tree,30.0,3-9,F,LMH,SN,M,3,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Acer saccharinum
Acer saccharum,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",Tree,30.0,4-8,S,LMH,SN,M,4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Acer saccharum
Acer saccharum grandidentatum,"Big-Tooth Maple, Canyon Maple, Rocky Mountain Sugar Maple",Tree,12.0,5-8,,LMH,SN,M,4,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer saccharum grandidentatum
Acer saccharum nigrum,Black Maple,Tree,25.0,4-6,S,LMH,SN,M,4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer saccharum nigrum
Acer spicatum,Mountain Maple,Tree,10.0,3-6,S,LMH,N,M,2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer spicatum
Acer sterculiaceum,,Tree,6.0,7-10,,LMH,SN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Acer sterculiaceum
Acer tataricum,Tatarian Maple,Tree,9.0,3-7,M,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer tataricum
Acer truncatum,"Shantung Maple, Purpleblow Maple",Tree,8.0,3-8,S,LMH,SN,M,1,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Acer truncatum
Acer ukurunduense caudatum,,Tree,20.0,-,S,LMH,SN,M,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Acer ukurunduense caudatum
Achillea ageratum,"Mace, Sweet-nancy",Perennial,0.6,6-9,,LMH,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Achillea ageratum
Achillea erba-rotta moschata,Musk Milfoil,Perennial,0.2,5-9,,LMH,N,DM,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Achillea erba-rotta moschata
Achillea millefolium,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",Perennial,0.6,4-8,F,LMH,SN,DM,3,4,4,https://pfaf.org/user/Plant.aspx?LatinName=Achillea millefolium
Achillea ptarmica,"Sneeze-Wort, Sneezeweed",Perennial,0.6,3-9,F,LMH,N,M,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Achillea ptarmica
Achillea santolina,,Perennial,0.3,-,,LMH,N,DM,0,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Achillea santolina
Achillea sibirica,Siberian Yarrow,Perennial,0.5,5-9,,LMH,N,DM,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Achillea sibirica
Achlys triphylla,"Vanilla leaf, Sweet after death",Perennial,0.4,0-0,,LMH,S,M,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Achlys triphylla
Achnatherum hymenoides,"Indian Millet, Indian ricegrass",Perennial,0.6,7-10,,LMH,N,M,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Achnatherum hymenoides
Achyranthes aspera,Devil's Horsewhip,Perennial,0.9,-,,LMH,SN,M,2,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes aspera
Achyranthes bidentata,Niu Xi,Perennial,0.8,7-10,,LM,SN,M,2,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes bidentata
Achyranthes faureri,,Perennial,0.9,-,,LM,SN,M,1,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes faureri
Achyranthes japonica,Japanese Chaff Flower,Perennial,1.0,-,,LM,SN,M,0,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes japonica
Acinos alpinus,Alpine Calamint,Perennial,0.5,4-8,,LMH,N,DM,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Acinos alpinus
Acinos arvensis,Basil Thyme,Annual/Perennial,0.2,4-8,,LM,N,DM,2,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Acinos arvensis
Acinos rotundifolius,,Annual/Perennial,0.3,4-8,,LMH,N,DM,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Acinos rotundifolius
Aciphylla colensoi,Wild Spaniard,Perennial,0.9,6-9,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Aciphylla colensoi
Aciphylla squarrosa,Speargrass,Perennial,2.5,4-8,,LM,N,DM,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Aciphylla squarrosa
Acmella oleracea,"Toothache plant, Paracress",Perennial,0.4,9-11,F,LMH,N,M,3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Acmella oleracea
Aconitum balfourii,,Perennial,0.0,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum balfourii
Aconitum carmichaelii,"Japanese Aconite, Carmichael's monkshood",Perennial,1.5,3-7,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum carmichaelii
Aconitum chasmanthum,,Perennial,0.5,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum chasmanthum
Aconitum chinense,,Perennial,1.2,5-9,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum chinense
Aconitum columbianum,Columbian monkshood,Perennial,0.2,0-0,,LMH,SN,M,0,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum columbianum
Aconitum delphinifolium,,Perennial,0.2,-,,LMH,FS,M,0,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum delphinifolium
Aconitum dienorrhizum,,Perennial,0.0,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum dienorrhizum
Aconitum ferox,Indian aconite,Perennial,1.0,5-9,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum ferox
Aconitum fischeri,Fischer monkshood,Perennial,0.0,0-0,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum fischeri
Aconitum gammiei,,Perennial,0.6,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum gammiei
Aconitum hemsleyanum,,Perennial,1.5,4-8,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum hemsleyanum
Aconitum heterophyllum,,Perennial,1.5,5-9,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum heterophyllum
Aconitum japonicum,,Perennial,1.0,4-8,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum japonicum
Aconitum koreanum,Korean Monk's Hood,Perennial,1.5,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum koreanum
Aconitum kusnezoffii,Bei Wu Tou,Perennial,1.5,5-9,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum kusnezoffii
Aconitum lycoctonum,Wolfsbane,Perennial,1.0,3-7,,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum lycoctonum
Aconitum lycoctonum vulparia,Wolfbane,Perennial,1.0,3-7,,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum lycoctonum vulparia
Aconitum maximum,Kamchatka aconite,Perennial,0.2,0-0,,LMH,SN,M,0,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum maximum
Aconitum mokchangense,,,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum mokchangense
Aconitum multifidum,,Perennial,1.0,5-9,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum multifidum
Aconitum napellus,"Aconite, Venus' chariot, Wolfsbane Garden, Monk's Hood Garden",Perennial,1.5,3-8,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum napellus
Aconitum orientale,,Perennial,1.5,5-9,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum orientale
Aconitum palmatum,,Perennial,0.0,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum palmatum
Aconitum rotundifolium,,Perennial,0.5,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum rotundifolium
Aconitum septentrionale,,Perennial,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum septentrionale
Aconitum uncinatum,"Wild Monkshood, Southern blue monkshood",Perennial,1.0,5-9,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum uncinatum
Aconitum violaceum,,Perennial,0.0,5-9,,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum violaceum
Aconitum volubile,,Perennial Climber,2.0,-,,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum volubile
Acorus calamus,Sweet Flag - Calamus,Perennial,1.0,4-11,M,LMH,N,WeWa,3,4,4,https://pfaf.org/user/Plant.aspx?LatinName=Acorus calamus
Acorus gramineus,"Grass-leaved Sweet Rush, Japanese Sweet Flag, Dwarf Sweet Flag",Perennial,0.3,6-10,,LMH,N,MWeWa,3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Acorus gramineus
Acourtia microcephala,Sacapellote,Perennial,1.4,7-10,,LM,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Acourtia microcephala
Acrocarpus fraxinifolius,"Pink Cedar, Shingle Tree",Tree,30.0,10-12,F,M,N,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Acrocarpus fraxinifolius
Acrocomia aculeata,"Coyoli Palm. Gru-Gru Palm, Macaw palm",Tree,15.0,10-12,F,LMH,N,DM,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Acrocomia aculeata
Acrotriche aggregata,,Shrub,1.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Acrotriche aggregata
Acrotriche depressa,,Shrub,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Acrotriche depressa
Acrotriche prostrata,,Shrub,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Acrotriche prostrata
Acrotriche serrulata,Honeypots,Shrub,0.3,0-0,,LMH,SN,M,2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Acrotriche serrulata
Actaea pachypoda,White Baneberry,Perennial,0.8,3-7,,LMH,S,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Actaea pachypoda
